Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ggal_gut_1						14.334354783792989	45.0	104.47957099080695	104	20.0	0.002937
ggal_gut_2						14.164113040517535	45.0	105.0	105	30.0	0.002937
ggal_liver_1						14.334354783792989	45.0	104.47957099080695	104	20.0	0.002937
ggal_liver_2						14.164113040517535	45.0	105.0	105	30.0	0.002937
ggal_lung_1						14.334354783792989	45.0	104.47957099080695	104	20.0	0.002937
ggal_lung_2						14.164113040517535	45.0	105.0	105	30.0	0.002937
ggal_spleen_1						14.334354783792989	45.0	104.47957099080695	104	20.0	0.002937
ggal_spleen_2						14.164113040517535	45.0	105.0	105	30.0	0.002937
quant_0001	67.55192373169902	0.001984	IU	100.0	0.5249632892804699						
quant_0002	67.55192373169902	0.001984	IU	100.0	0.5249632892804699						
quant_0003	67.55192373169902	0.001984	IU	100.0	0.5249632892804699						
quant_0004	67.55192373169902	0.001984	IU	100.0	0.5249632892804699						
